COVID-19 Vaccinations in the United States
Date generated: Tue Jul 13 2021 13:54:29 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4397410,N/A,N/A,4387889,N/A,4224533,N/A,2483060,N/A,2386319,N/A,1891635,N/A,1828061,N/A,2367810,1843300,186300,0,158958,1778167,2449633,1131,718304,1017293,156037,1,718197,953933,155930,1,1735598,N/A,2386319,N/A,0,1672131,0,2483060,194068,0,141355,0,50645,84504,6206,0,352111,0,0,2480562,0,1891515,0,718276,1017218,156020,1,4385286,0,0
Delaware,1297395,133235,168451,1059611,108816,1004267,130392,575285,59.1,546355,70.9,498672,51.2,475927,61.8,699495,532100,65800,0,45890,422811,590379,531,189037,264334,45065,236,188939,241722,45030,236,453607,59.1,546355,70.9,46.6,430897,55.9,575285,176998,93.7,157814,83.5,65202,83787,8688,137,334839,177252,686794,575128,68.5,498636,59.4,189033,264310,45057,236,1059425,126151,154487
Florida,25229075,117466,146274,21571442,100436,20801370,120603,11787948,54.9,11343879,65.8,10109521,47.1,9795378,56.8,13317315,10217260,1694500,0,1052464,8588379,11877330,53269,3812765,5244111,1035461,17184,3811700,4932292,1034242,17144,9074060,54.9,11343879,65.8,42.2,8761136,50.8,11787948,4062831,90.3,3552952,79,1756237,1605917,179253,11545,7909864,175879,560978,11780429,63,10108066,54.1,3812169,5243971,1034742,17184,21563194,115336,134944
Federated States of Micronesia,78800,76030,97614,53048,51183,53010,65667,31796,30.7,31753,39.3,27365,26.4,27347,33.9,0,68600,10200,0,6152,46896,0,0,21188,54,6123,0,21184,54,6109,0,21242,30.7,31753,39.3,20.5,21238,26.3,31796,2587,14.7,2351,13.4,1792,5,554,0,4371,24890,448722,31784,35.9,27358,30.9,21187,54,6117,0,53035,59920,89030
Georgia,11322705,106643,139553,8607149,81066,8258767,101790,4704960,44.3,4488192,55.3,3969801,37.4,3835211,47.3,5919705,4803800,599200,0,227871,3636187,4742153,938,1638538,2105981,224760,522,1638026,1972237,224459,489,3745041,44.3,4488192,55.3,35.3,3610752,44.5,4704960,1237417,81.6,1084198,71.5,601297,454943,27742,216,2392383,157710,746411,4703252,52.3,3969498,44.2,1638494,2105813,224669,522,8605294,95741,125974
Guam,215770,130164,167116,194913,117582,179163,138763,104651,63.1,95953,74.3,93982,56.7,86957,67.3,122070,74200,19500,0,4982,71054,118877,0,33246,55798,4938,0,33236,48784,4937,0,89044,63.1,95953,74.3,53.7,82020,63.5,104651,15241,54.3,14211,50.6,6052,7828,331,0,29315,104372,768220,104639,73.9,93977,66.4,33245,55794,4938,0,194896,137675,152421
Hawaii,1956710,138198,175332,1697443,119887,1605146,143830,997059,70.4,936940,84,745365,52.6,711611,63.8,1101570,773440,81700,0,37417,593052,973210,93764,258569,430802,37910,18084,257991,397791,37762,18067,707455,70.4,936940,84,50,673849,60.4,997059,269904,99.9,225584,84,94678,121151,8345,1410,485234,180755,728897,993266,82,743871,61.4,258522,429400,37876,18073,1692888,139780,161563
Iowa,3506895,111151,144422,3076237,97501,2934402,120845,1640856,52,1564090,64.4,1537517,48.7,1473653,60.7,1858155,1460040,188700,0,129025,1298275,1648809,128,630045,780874,126502,96,629913,717203,126441,96,1411015,52,1564090,64.4,44.7,1347212,55.5,1640856,490835,88.8,475151,85.9,252084,211261,11744,62,960142,173639,634211,1640791,61.3,1537494,57.4,630038,780860,126500,96,3076205,114943,131036
Idaho,1705650,95444,127395,1344298,75224,1343746,100365,716653,40.1,715535,53.4,655317,36.7,654655,48.9,891090,714460,100100,0,52997,575666,714626,1009,267161,335036,52800,320,267146,334409,52781,319,602517,40.1,715535,53.4,33.7,601874,45,716653,235601,81.1,223039,76.7,103730,109765,9410,134,457279,157319,586799,716620,47.9,655298,43.8,267158,335029,52791,320,1344273,89893,114059
Indian Health Svc,1759915,84497,N/A,1459769,70086,1371429,N/A,809173,38.9,758430,N/A,668620,32.1,631105,N/A,762015,923200,74700,0,26181,775561,658027,0,344217,298422,25981,0,343960,261203,25942,0,642639,38.9,758430,N/A,30.9,605163,0,809173,150122,0,126167,0,72021,51452,2694,0,276632,0,0,808842,0,668474,0,344145,298362,25967,0,1459274,0,0
Illinois,14861055,117276,150813,13225512,104369,12421832,126059,7654636,60.4,7166310,72.7,5981125,47.2,5658675,57.4,8169195,5841160,850700,0,468010,5183133,7562644,11725,2238797,3271473,466938,3917,2232463,2957738,464590,3884,5514187,60.4,7166310,72.7,43.5,5194085,52.7,7654636,1847902,90.4,1523700,74.6,700447,753886,67335,2032,3329132,162935,727331,7629114,70.4,5966941,55.1,2238754,3257358,466912,3917,13185450,121662,137122
Indiana,6779090,100696,131270,5904880,87711,5645338,109316,3086166,45.8,2946246,57.1,2905118,43.2,2790752,54,3653430,2698160,427500,0,219859,2309737,3357047,18237,1096115,1587373,215674,5956,1095896,1473403,215525,5928,2689444,45.8,2946246,57.1,39.9,2575227,49.9,3086166,903273,83.2,879902,81,436598,414729,25499,3076,1814740,167143,624373,3085878,54.1,2905012,50.9,1096103,1587295,215658,5956,5904558,103497,118826
Kansas,3125045,107268,141209,2527797,86767,2424535,109556,1453998,49.9,1389672,62.8,1243244,42.7,1197527,54.1,1582305,1369240,173500,0,84972,1104732,1337354,739,520307,638003,84664,270,520106,592567,84592,262,1158580,49.9,1389672,62.8,39.8,1112935,50.3,1453998,438418,92.2,378623,79.6,184363,179310,14809,141,786351,165378,657230,1453877,59.3,1243221,50.7,520300,637994,84657,270,2527673,103099,127465
Kentucky,4530165,101399,130748,4066030,91010,3901400,112601,2244494,50.2,2150370,62.1,1983600,44.4,1912988,55.2,2276145,1987520,266500,0,169212,1772819,2123442,557,824791,992585,165573,651,824629,922235,165481,643,1818027,50.2,2150370,62.1,40.7,1747507,50.4,2244494,648500,86.4,592675,79,270855,287054,34383,383,1194817,159189,603568,2244158,59,1983548,52.1,824781,992565,165552,650,4064976,106800,119022
Louisiana,4116480,88549,115594,3451962,74255,3361473,94393,1825946,39.3,1774009,49.8,1665448,35.8,1627686,45.7,2059440,1818940,238100,0,128952,1559484,1762319,1207,723833,818420,122611,584,723540,781061,122505,580,1542837,39.3,1774009,49.8,33.2,1505181,42.3,1825946,591750,79.9,565349,76.3,268777,277286,19157,129,1164609,157163,555514,1825773,46.5,1665387,42.4,723817,818395,122591,584,3451762,87981,104923
Massachusetts,9829100,142606,177430,8964786,130066,8398078,151598,4910031,71.2,4596694,83,4319743,62.7,4064855,73.4,5451420,3932980,444700,0,296318,3568103,5100154,211,1649724,2372848,297104,67,1644477,2124392,295930,56,4022639,71.2,4596694,83,58.4,3768925,68,4910031,1128569,96.5,1011200,86.5,460557,485710,64911,22,2074463,177406,840574,4893328,81.3,4308333,71.6,1649716,2361453,297097,67,8936411,148526,163362
Maryland,8580840,141933,182145,7005829,115882,6568787,139435,3802013,62.9,3564558,75.7,3460332,57.2,3263033,69.3,4780080,3360360,440400,0,269042,2706234,4023128,7425,1283835,1913023,261336,2138,1283529,1716217,261203,2084,3198996,62.9,3564558,75.7,52.9,3001830,63.7,3802013,885789,92.3,835209,87.1,398886,385905,49776,642,1666092,173661,894400,3801587,73.6,3460183,67,1283803,1912933,261309,2138,7005480,135689,166202
Maine,1874270,139433,171108,1634116,121567,1549026,141416,901684,67.1,856537,78.2,839040,62.4,799820,73,966150,805020,103100,0,106503,688907,838256,450,331394,402558,104975,113,331342,363449,104925,104,734065,67.1,856537,78.2,54.6,694895,63.4,901684,271394,95.1,258793,90.7,118653,118444,21658,38,508140,178129,657028,901590,76.1,839012,70.8,331390,402551,104958,113,1634018,137899,158175
Marshall Islands,51300,87823,112755,34349,58804,34264,75310,18824,32.2,18761,41.2,16512,28.3,16482,36.2,0,40500,10800,0,1034,33315,0,0,15468,11,1033,0,15443,9,1030,0,15479,32.2,18761,41.2,26.5,15452,34,18824,1104,11.2,965,9.8,916,0,49,0,2020,20410,518339,18804,37.7,16503,33.1,15460,11,1032,0,34321,68802,102839
Michigan,11707700,117231,149277,9574588,95872,9114671,116215,5198679,52.1,4948240,63.1,4785512,47.9,4575768,58.3,6140640,4915260,651800,0,331554,3914690,5326950,1394,1885079,2562694,337006,733,1884558,2353683,336809,718,4448506,52.1,4948240,63.1,44.5,4238959,54,5198679,1502816,85.1,1429319,81,717388,649414,62046,471,2846680,161248,663175,5198355,60.5,4785426,55.7,1885059,2562642,336993,732,9574234,111393,136215
Minnesota,6588240,116820,151926,5955717,105605,5595258,129028,3249725,57.6,3058545,70.5,2973968,52.7,2805734,64.7,3606720,2632220,349300,0,264784,2326022,3364271,640,1101821,1606001,265932,214,1099794,1440291,265444,205,2708036,57.6,3058545,70.5,48,2540290,58.6,3249725,844710,91.8,795212,86.4,336227,413719,45216,50,1584628,172171,715816,3238682,67.8,2965965,62.1,1101809,1598028,265914,214,5936428,124243,137884
Missouri,6202815,101065,130124,5217589,85013,5005683,105010,2821902,46,2703114,56.7,2442158,39.8,2356173,49.4,3349755,2541660,311400,0,174872,1979917,3062329,471,904914,1361726,175417,101,904670,1276147,175263,93,2266741,46,2703114,56.7,36.9,2180910,45.8,2821902,860110,81,780078,73.5,357248,389570,33215,45,1646093,154994,584049,2821572,53.9,2442112,46.6,904904,1361705,175402,101,5217260,99648,118471
Northern Mariana Islands,72330,127158,163258,57308,100749,52638,118811,30279,53.2,27536,62.2,27509,48.4,25579,57.7,49530,20200,2600,0,453,8038,48817,0,3868,23182,459,0,3868,21252,459,0,27050,53.2,27536,62.2,47.6,25120,56.7,30279,2751,28.5,2652,27.5,435,2150,67,0,5335,55354,750467,30279,62.3,27509,56.6,3868,23182,459,0,57308,117976,148901
Mississippi,2695965,90586,118370,2040132,68549,1992909,87502,1104565,37.1,1076408,47.3,992795,33.4,973058,42.7,1336965,1194400,164600,0,60627,923751,1054775,979,433157,499931,59652,55,432998,480407,59599,54,933143,37.1,1076408,47.3,31.4,913459,40.1,1104565,375850,77.2,349620,71.8,182493,152232,14878,17,705719,145003,553935,1104463,43.8,992766,39.4,433149,499917,59645,55,2040020,80907,106922
Montana,1121325,104917,133461,952254,89097,914965,108900,515809,48.3,494992,58.9,465017,43.5,448926,53.4,551925,499800,69600,0,39024,426347,486233,650,199942,226913,37935,227,199860,210927,37912,227,427082,48.3,494992,58.9,40,411014,48.9,515809,170934,82.8,159679,77.3,77198,74340,8015,126,323594,156752,543180,515707,56.2,464985,50.7,199926,226902,37930,227,952119,103762,122202
North Carolina,11826560,112762,144449,9433177,89942,8987093,109768,5184475,49.4,4930879,60.2,4469168,42.6,4280922,52.3,6302040,4878020,646500,0,351869,3743760,5337110,438,1694703,2429168,345252,45,1692078,2244781,344018,45,4123916,49.4,4930879,60.2,39.3,3936904,48.1,5184475,1462873,83.5,1339775,76.5,647279,651861,40607,28,2811147,160537,675381,5175850,57.6,4464061,49.7,1694611,2424174,345231,45,9419442,104829,131618
North Dakota,725160,95158,124621,649993,85294,626918,107738,338310,44.4,326073,56,300211,39.4,291015,50,371820,316840,36500,0,29068,276867,344058,0,124083,150049,26078,1,123897,141162,25955,1,274133,44.4,326073,56,36,265060,45.6,338310,100019,83.5,89288,74.5,44206,41581,3501,0,193977,161857,605082,337705,53,299870,47.1,124078,149716,26075,1,648967,101839,113796
Nebraska,2113750,109271,144943,1891368,97775,1796641,123198,1012653,52.3,960148,65.8,937005,48.4,894618,61.3,1166730,838920,108100,0,69561,748487,1069728,3592,357771,508459,69723,1052,357644,466278,69674,1022,867282,52.3,960148,65.8,44.8,824944,56.6,1012653,276328,88.4,265859,85.1,130478,129110,5582,689,547746,175302,676491,1012433,62.6,936942,57.9,357751,508432,69708,1051,1891089,116921,130687
New Hampshire,1861060,136872,168504,1563664,115000,1478817,133895,863803,63.5,818997,74.2,779826,57.4,743196,67.3,997380,746980,116700,0,58996,649814,854832,22,315549,404345,59904,28,315304,368007,59857,28,719922,63.5,818997,74.2,52.9,683339,61.9,863803,240093,94.6,220751,87,94469,112909,13356,17,434264,171062,733093,863362,72,779623,65,315450,404263,59882,28,1563053,130410,155273
New Jersey,11723135,131985,168833,10041464,113052,9469712,136380,5678062,63.9,5358789,77.2,5012639,56.4,4755225,68.5,6321015,4795820,606300,0,380005,4049524,5611906,29,1916393,2710818,385362,66,1916001,2454017,385150,57,4627277,63.9,5358789,77.2,52.1,4370075,62.9,5678062,1327253,90,1212906,82.2,569576,564268,79035,27,2412182,163478,794501,5677399,74.5,5012503,65.8,1916367,2710757,385313,66,10040796,131797,153880
New Mexico,2396705,114301,147854,2423811,115594,2284467,140930,1338350,63.8,1257019,77.5,1168764,55.7,1104747,68.2,1214625,1043580,138500,0,84402,1061501,1274027,3881,482816,601821,82975,1152,482487,538262,82851,1147,1085789,63.8,1257019,77.5,51.8,1021896,63,1338350,355833,94.2,321728,85.2,149604,153632,17845,647,657480,174118,634711,1338138,74.9,1168700,65.4,482799,601785,82964,1152,2423581,135590,134087
Nevada,3149520,102252,131916,2847160,92436,2727935,114258,1572631,51.1,1501737,62.9,1323370,43,1277362,53.5,1716480,1248740,184300,0,128649,1108179,1610318,14,505409,691440,126507,14,505328,645551,126469,14,1196863,51.1,1501737,62.9,38.9,1150893,48.2,1572631,409642,82.6,364864,73.6,173689,169734,21433,8,772290,155712,635020,1572546,60,1323336,50.5,505405,691412,126505,14,2847119,108594,120128
New York State,24341645,125127,157804,22257494,114413,21205323,137471,11889190,61.1,11309811,73.3,10776647,55.4,10302052,66.8,13120785,9966960,1253900,0,974399,8853508,12423742,5845,4119738,5733140,922402,1367,4118425,5260419,921884,1324,9854245,61.1,11309811,73.3,50.7,9380168,60.8,11889190,2844634,86.3,2627919,79.7,1262267,1205510,159494,648,5410778,164155,738488,11887891,70.9,10776118,64.2,4119591,5732878,922296,1353,22255746,132686,145122
Ohio,12518485,107095,137398,10844246,92772,10367392,113789,5699613,48.8,5445476,59.8,5323807,45.5,5105790,56,6612945,5250040,655500,0,438100,4425538,5966822,13786,2075377,2821675,422560,4195,2075045,2604220,422390,4135,4901247,48.8,5445476,59.8,41.9,4683400,51.4,5699613,1719830,84,1645026,80.4,752195,811817,78862,2152,3361350,164263,611756,5699352,57,5323740,53.2,2075367,2821635,422543,4195,10843996,108432,125176
Oklahoma,4058650,102570,135075,3328162,84109,3205398,106678,1806234,45.6,1735932,57.8,1548928,39.1,1497991,49.9,2055930,1780420,222300,0,99056,1474734,1754288,84,662685,788633,97567,43,662489,737952,97510,40,1451361,45.6,1735932,57.8,36.7,1400481,46.6,1806234,537162,84.6,477965,75.3,245427,215764,16760,14,1009248,158904,639025,1806069,54.3,1548879,46.6,662670,788608,97558,43,3327973,100083,122056
Oregon,5688655,134875,169751,4642891,110080,4376483,130595,2508487,59.5,2363450,70.5,2308772,54.7,2186927,65.3,3026055,2352400,310200,0,177910,1823574,2638590,2817,867372,1265145,175669,586,864646,1146801,174911,569,2133103,59.5,2363450,70.5,50.6,2012016,60,2508487,664550,86.7,632268,82.5,288286,299091,44607,284,1248497,162972,742567,2500458,68.5,2303072,63.1,867367,1259453,175667,585,4628953,126898,155949
Pennsylvania,15853755,123838,155928,14139778,110450,13485505,132635,8157566,63.7,7770300,76.4,6493824,50.7,6230544,61.3,8047035,6746020,1060700,0,548949,5846511,7743852,466,2553600,3387797,552071,356,2551975,3126479,551753,337,5941753,63.7,7770300,76.4,46.4,5678791,55.9,8157566,2441712,99.9,1974412,82.5,934880,963187,76174,171,4371079,182633,662405,8154613,73.6,6492634,58.6,2553475,3386773,552030,356,14135675,127561,143065
Puerto Rico,4236710,132659,161647,3837957,120173,3595745,137192,2124151,66.5,1986668,75.8,1842067,57.7,1734527,66.2,2222970,1823740,190000,0,108630,1649367,2079622,338,760799,972896,108338,34,760510,865786,108198,33,1733729,66.5,1986668,75.8,54.3,1626329,62.1,2124151,555784,99.9,497322,91.6,253112,225112,19095,3,1031364,189963,780345,2123151,74.5,1841801,64.7,760756,972714,108297,34,3836732,134703,148746
Rhode Island,1528665,144301,178819,1296707,122405,1225513,143357,693578,65.5,655344,76.7,635432,60,603456,70.6,846765,620300,61600,0,47400,510921,738231,155,241839,346186,47377,30,241788,314280,47359,29,588055,65.5,655344,76.7,55.5,556097,65.1,693578,179043,95.7,169650,90.7,77692,86119,5829,10,345040,184468,817267,693459,74.8,635397,68.5,241835,346156,47376,30,1296611,139798,164817
Republic of Palau,24600,137376,176382,25416,141933,25416,182233,14462,80.8,14461,99.9,13284,74.2,13284,95.2,0,20800,3800,0,2113,23302,1,0,11142,27,2115,0,11142,27,2115,0,11169,80.8,14461,99.9,62.4,11169,80.1,14462,1706,56.2,1664,54.8,1444,9,211,0,3113,102604,810811,14462,94.6,13284,86.9,11142,27,2115,0,25416,166205,160868
South Carolina,5369875,104295,132999,4268342,82901,4117971,101992,2318171,45,2231584,55.3,2035076,39.5,1970073,48.8,2733015,2323560,313300,0,151595,1725772,2389889,1086,777428,1108617,148808,223,775619,1045977,148254,223,1886268,45,2231584,55.3,36.6,1821819,45.1,2318171,797292,85.1,717367,76.6,306506,385696,25012,153,1497075,159769,573078,2313278,52.3,2032234,46,777343,1105902,148766,223,4260536,96393,121491
South Dakota,972075,109881,145617,829378,93751,794922,119079,452279,51.1,431878,64.7,406921,46,392988,58.9,475695,436980,59400,0,26519,360982,441864,13,173199,207041,26665,16,173154,193166,26652,16,380256,51.1,431878,64.7,43,366336,54.9,452279,139106,91.6,130675,86,67340,59535,3791,9,261924,172465,640066,452252,61.3,406910,55.1,173197,207033,26664,16,829353,112363,131699
Tennessee,6431980,94184,120922,5550888,81282,5372024,100995,2935929,43,2834145,53.3,2599234,38.1,2525109,47.5,3384540,2679640,367800,0,172613,2250268,3114112,13895,1016227,1412089,166785,4133,1015891,1338487,166620,4111,2432449,43,2834145,53.3,35.6,2358489,44.3,2935929,912146,79.8,835593,73.1,421194,383180,28764,2455,1788490,156420,562534,2935375,50.3,2599099,44.5,1016210,1412008,166748,4133,5550235,95110,110220
Texas,32252315,111231,149343,26283364,90645,24825407,114953,14264125,49.2,13425395,62.2,12248085,42.2,11554662,53.5,17365155,12992560,1894600,0,1038481,10673305,14570699,879,4796007,6438345,1013048,685,4524482,6073839,955694,646,11239825,49.2,13425395,62.2,38.8,10669966,49.4,14264125,3116712,83.5,2777866,74.4,1087734,1460217,229759,155,5972391,159936,863694,14259846,59.2,12245636,50.8,4795048,6437058,1012845,685,26278182,109033,133821
